nomePosto;bairro;tipoProduto;valorVenda;bandeira
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;GASOLINA ADITIVADA;5,399;IPIRANGA
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;ETANOL;3,899;IPIRANGA
AUTO POSTO BASE AÉREA LTDA.;BACACHERI;GASOLINA;5,199;IPIRANGA
AUTO POSTO RABAT LTDA;VILA TINGUI;ETANOL;3,799;BRANCA
AUTO POSTO RABAT LTDA;VILA TINGUI;GASOLINA;5,149;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;GASOLINA ADITIVADA;5,399;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;ETANOL;3,999;BRANCA
AUTO POSTO VICENTE MACHADO LTDA;CENTRO;GASOLINA;5,299;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;GASOLINA ADITIVADA;5,249;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;ETANOL;3,899;BRANCA
AUTO POSTO AHU LTDA;SAO LOURENCO;GASOLINA;5,149;BRANCA
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;GASOLINA ADITIVADA;5,399;RAIZEN
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;ETANOL;3,899;RAIZEN
AUTO POSTO ERASTO GAERTNER LTDA;BACACHERI;GASOLINA;5,199;RAIZEN
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;GASOLINA ADITIVADA;5,549;IPIRANGA
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;ETANOL;4,199;IPIRANGA
AUTO POSTO LUA CRESCENTE LTDA.;SANTA CANDIDA;GASOLINA;5,399;IPIRANGA
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;GASOLINA ADITIVADA;5,47;RAIZEN
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;ETANOL;3,999;RAIZEN
AUTO POSTO PETRO IGUAÇU LTDA.;CENTRO;GASOLINA;5,27;RAIZEN
DUCATI AUTO POSTO LTDA;BOA VISTA;GASOLINA ADITIVADA;5,499;IPIRANGA
DUCATI AUTO POSTO LTDA;BOA VISTA;ETANOL;3,999;IPIRANGA
DUCATI AUTO POSTO LTDA;BOA VISTA;GASOLINA;5,299;IPIRANGA
AUTO POSTO PATMOS LTDA;BARRERINHA;GASOLINA ADITIVADA;5,499;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PATMOS LTDA;BARRERINHA;ETANOL;4,299;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PATMOS LTDA;BARRERINHA;GASOLINA;5,299;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PETRO CHILE LTDA;REBOUCAS;GASOLINA ADITIVADA;5,599;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PETRO CHILE LTDA;REBOUCAS;ETANOL;4,099;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PETRO CHILE LTDA;REBOUCAS;GASOLINA;5,399;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO MEXICO LTDA;BACACHERI;GASOLINA ADITIVADA;5,499;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO MEXICO LTDA;BACACHERI;ETANOL;3,999;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO MEXICO LTDA;BACACHERI;GASOLINA;5,299;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO VERDE COM DE COMBUSTIVEIS E LUBRIF LTDA;JUVEVE;GASOLINA ADITIVADA;5,599;RAIZEN
AUTO POSTO VERDE COM DE COMBUSTIVEIS E LUBRIF LTDA;JUVEVE;ETANOL;4,399;RAIZEN
AUTO POSTO VERDE COM DE COMBUSTIVEIS E LUBRIF LTDA;JUVEVE;GASOLINA;5,399;RAIZEN
POSTO RODOVIA DOS MINERIOS LTDA;ABRANCHES;GASOLINA ADITIVADA;5,458;BRANCA
POSTO RODOVIA DOS MINERIOS LTDA;ABRANCHES;ETANOL;3,998;BRANCA
POSTO RODOVIA DOS MINERIOS LTDA;ABRANCHES;GASOLINA;5,158;BRANCA
AUTO POSTO VENDRAMIN LTDA.;REBOUCAS;GASOLINA ADITIVADA;5,529;RODOIL
AUTO POSTO VENDRAMIN LTDA.;REBOUCAS;ETANOL;3,899;RODOIL
AUTO POSTO VENDRAMIN LTDA.;REBOUCAS;GASOLINA;5,279;RODOIL
AUTO POSTO SOCIAL LTDA;HUGO LANGE;GASOLINA ADITIVADA;5,56;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SOCIAL LTDA;HUGO LANGE;ETANOL;4,25;PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SOCIAL LTDA;HUGO LANGE;GASOLINA;5,42;PETROBRAS DISTRIBUIDORA S.A.
G T ZANLORENZI E CIA LTDA;CABRAL;GASOLINA ADITIVADA;5,249;BRANCA
G T ZANLORENZI E CIA LTDA;CABRAL;ETANOL;3,899;BRANCA
G T ZANLORENZI E CIA LTDA;CABRAL;GASOLINA;5,159;BRANCA
AUTO POSTO MOCELIN LTDA;BARREIRINHA;GASOLINA ADITIVADA;5,499;BRANCA
AUTO POSTO MOCELIN LTDA;BARREIRINHA;ETANOL;3,999;BRANCA
AUTO POSTO MOCELIN LTDA;BARREIRINHA;GASOLINA;5,299;BRANCA
AUTO POSTO JARDIM QUERENCIA LTDA;BARREIRINHA;GASOLINA ADITIVADA;5,24;BRANCA
AUTO POSTO JARDIM QUERENCIA LTDA;BARREIRINHA;ETANOL;3,87;BRANCA
AUTO POSTO JARDIM QUERENCIA LTDA;BARREIRINHA;GASOLINA;5,14;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;GASOLINA ADITIVADA;5,249;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;ETANOL;3,859;BRANCA
ACIPE - COMERCIO DE COMBUSTIVEIS LTDA;BELEM;GASOLINA;5,199;BRANCA
AUTO POSTO NILO CAIRO LTDA;CENTRO;ETANOL;3,789;BRANCA
AUTO POSTO NILO CAIRO LTDA;CENTRO;GASOLINA;5,199;BRANCA
POSTO DE GASOLINA HELLER LTDA;BATEL;GASOLINA ADITIVADA;5,499;RAIZEN
POSTO DE GASOLINA HELLER LTDA;BATEL;ETANOL;3,999;RAIZEN
POSTO DE GASOLINA HELLER LTDA;BATEL;GASOLINA;5,299;RAIZEN
AUTO POSTO ORTONA LTDA;JUVEVE;GASOLINA ADITIVADA;5,25;IPIRANGA
